Reference, Value, Footprint, Datasheet, MFN, MPN, PurchasingLink, Digi-key Part Number, Link, Purchasing Link
"C104","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R306","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R305","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R304","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R302","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R301","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U301","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R307","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C301","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R303","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R406","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R405","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R404","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R402","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R401","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U401","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R407","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C401","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R403","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
